company_name, Description, Technology, Location, No_of_Employees, Founded, website, linkedIn, reviews
Vahan,"We use Artificial Intelligence to bring job services inside WhatsApp",  Messaging Recruiting Artificial Intelligence,"📍HQ: Bangalore, India",51-100 ,2016,http://vahan.ai?utm_source=topstartups.io,https://in.linkedin.com/company/vahan-inc-,"https://www.glassdoor.com/Overview/Working-at-Vahan-EI_IE1493574.11,16.htm",
Catalia Health,"We create the Mabu personal healthcare companion to help patients with chronic disease and collect data to healthcare providers.",Artificial Intelligence  Healthcare  Robotics  Hardware,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2014,http://cataliahealth.com?utm_source=topstartups.io,https://linkedin.com/company/catalia-health,"https://www.glassdoor.com/Overview/Working-at-Catalia-Health-EI_IE3172395.11,25.htm",
Docbot,"Docbot, Inc. is an artificial intelligence technology company focusing on gastrointestinal (GI) disease.",Healthcare Artificial Intelligence  Biotech,"📍HQ: Los Angeles, California, USA",11-50 ,2014,http://docbot.ai/?utm_source=topstartups.io,https://linkedin.com/company/docbot-ai,"https://www.glassdoor.com/Job/irvine-artificial-intelligence-jobs-SRCH_IL.0,6_IC1146798_KO7,30.htm",
Sourceress,"Sourceress is an AI recruiter that is reinventing how people find jobs.",Recruiting Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",1-10 ,2016,https://www.sourceress.com/?utm_source=topstartups.io,https://linkedin.com/company/sourceress,"https://www.glassdoor.com/Overview/Working-at-Sourceress-EI_IE1872135.11,21.htm",
Intelecy,"Norwegian tech company using machine learning to prevent breakdowns, predict failures, improve production processes",Machine Learning Artificial Intelligence Predictive Analytics,"📍HQ: Oslo, Norway",11-50 ,2016,http://www.intelecy.com?utm_source=topstartups.io,https://linkedin.com/company/15247471,"https://www.glassdoor.com/Overview/Working-at-Intelect-Belgium-EI_IE2022523.11,27.htm",
Playment,"We are fully-managed solution offering training data for computer vision, machine learning and human-in-the-loop for AI at scale.",Data Science Artificial Intelligence Autonomous Vehicles,"📍HQ: Bangalore, India",101-200 ,2015,http://playment.io/?utm_source=topstartups.io,https://linkedin.com/company/playment,"https://www.glassdoor.com/Overview/Working-at-Playment-EI_IE1385135.11,19.htm",
Mihup,"Intelligence-based personal mobile assistant app",Artificial Intelligence  Speech Recognition,"📍HQ: Kolkata, India",51-100 ,2016,http://www.mihup.com?utm_source=topstartups.io,https://linkedin.com/company/mihup,"https://www.glassdoor.com/Overview/Working-at-Mihup-Communications-EI_IE2079900.11,31.htm",
HiOperator,"HiOperstor provides customer support as-a-service.",Artificial Intelligence Customer Support,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2016,http://hioperator.com?utm_source=topstartups.io,https://linkedin.com/company/10698236,"https://www.glassdoor.com/Reviews/HiOperator-Reviews-E2096252.htm",
Cureskin,"Cureskin is an AI powered application that provides derma care through mobile devices.",Skin Care  Artificial Intelligence,"📍HQ: Bengaluru, India",11-50 ,2016,http://cureskin.com/?utm_source=topstartups.io,https://linkedin.com/company/heallo.ai,"https://www.glassdoor.com/Overview/Working-at-Cureskin-EI_IE4187713.11,19.htm",
DeepL,"DeepL is a leading deep learning company for language translation",Artificial Intelligence Translation ML,"📍HQ: Cologne, Germany",101-200 ,2009,http://www.linguee.com?utm_source=topstartups.io,https://www.linkedin.com/company/linkedin-com-company-deepl/,"https://www.glassdoor.com/Reviews/Employee-Review-Google-RVW20235921.htm",
